Bootstrap: [-0.2118, 0.1328]
Bootstrap: [0.0397, 0.4656]
Bootstrap: [0.7262, 0.6947]
Bootstrap: [0.2278, 1.1151]
Averages:  [0.0371, Bootstrap: [-0.1349, 0.2509]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
{Error using <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('whos')" style="font-weight:bold">whos</a>
Argument must be a text scalar.

Error in <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('bootcl_demo', '/Users/rweigel/git/tflab/stats/bootcl_demo.m', 18)" style="font-weight:bold">bootcl_demo</a> (<a href="matlab: opentoline('/Users/rweigel/git/tflab/stats/bootcl_demo.m',18,0)">line 18</a>)
whos(lims)
} 
whos lims
  Name      Size             Bytes  Class     Attributes

  lims      1x200             1600  double              

whos x
  Name       Size             Bytes  Class     Attributes

  x         10x100             8000  double              

whos x
  Name       Size             Bytes  Class     Attributes

  x         10x100             8000  double              

bootcl_demo
Bootstrap: [-0.2601, 0.1519]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size            Bytes  Class     Attributes

  lims      1x20              160  double              


Bootstrap: [-0.1121, -0.2406]
Bootstrap: [-0.3917, -0.2094]
Bootstrap: [-0.3732, -0.0732]
Bootstrap: [-0.1903, -0.3270]
Bootstrap: [-0.2487, -0.0790]
Bootstrap: [0.2624, 0.1343]
Bootstrap: [0.0177, 0.2067]
Bootstrap: [0.0273, 0.2628]
Bootstrap: [0.2153, 0.0730]
Bootstrap: [0.1041, 0.3076]
Averages:  [-0.0317, Bootstrap: [-0.2804, 0.1064]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size            Bytes  Class     Attributes

  lims      1x20              160  double              


Bootstrap: [-0.0732, -0.1566]
Bootstrap: [-0.1690, -0.1188]
Bootstrap: [-0.1627, 0.0515]
Bootstrap: [-0.2532, -0.1790]
Bootstrap: [-0.2688, -0.1979]
Bootstrap: [0.3137, 0.2227]
Bootstrap: [0.2413, 0.2717]
Bootstrap: [0.2262, 0.3793]
Bootstrap: [0.1365, 0.2062]
Bootstrap: [0.1165, 0.2218]
Averages:  [0.0404,   Name      Size            Bytes  Class     Attributes

  l         1x1                 8  double              
  u         1x1                 8  double              

Bootstrap: [-0.1346, 0.2580]
Exact:     [-0.1960, 0.1960]
  Name      Size            Bytes  Class     Attributes

  l         1x1                 8  double              
  u         1x1                 8  double              


Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size            Bytes  Class     Attributes

  l         1x10               80  double              
  u         1x10               80  double              

  Name      Size            Bytes  Class     Attributes

  lims      2x10              160  double              


Bootstrap: [-0.1561, 0.2314]
Bootstrap: [-0.1510, 0.2812]
Bootstrap: [-0.2560, 0.1183]
Bootstrap: [-0.2781, 0.1023]
Bootstrap: [-0.0684, 0.3461]
Bootstrap: [-0.0608, 0.3501]
Bootstrap: [-0.4132, -0.0273]
Bootstrap: [-0.1398, 0.2448]
Bootstrap: [0.0671, 0.4217]
Bootstrap: [-0.4149, -0.0542]
Averages:  [0.0377, 0.0651]

Averages:  [-0.0688, -0.0879]

Averages:  [0.1389, 0.1447]

Averages:  [-0.2203, 0.0525]

Averages:  [0.2444, -0.2345]
Bootstrap: [-0.2263, 0.1584]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size            Bytes  Class     Attributes

  lims      2x10              160  double              


Bootstrap: [-0.0852, 0.2841]
Bootstrap: [-0.1679, 0.2635]
Bootstrap: [-0.1255, 0.2467]
Bootstrap: [-0.2159, 0.1421]
Bootstrap: [-0.2016, 0.1877]
Bootstrap: [-0.0420, 0.3353]
Bootstrap: [-0.2722, 0.1003]
Bootstrap: [-0.2522, 0.1451]
Bootstrap: [-0.2820, 0.1209]
Bootstrap: [-0.2315, 0.1714]
Averages:  [0.0994, 0.0478]

Averages:  [0.0606, -0.0369]

Averages:  [-0.0069, 0.1466]

Averages:  [-0.0859, -0.0535]

Averages:  [-0.0806, -0.0300]
Bootstrap: [-0.0996, 0.3219]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size            Bytes  Class     Attributes

  lims      2x10              160  double              


Bootstrap: [-0.2153, 0.1708]
Bootstrap: [-0.1657, 0.1922]
Bootstrap: [-0.2943, 0.1029]
Bootstrap: [-0.1365, 0.2432]
Bootstrap: [-0.1587, 0.2240]
Bootstrap: [-0.2672, 0.1559]
Bootstrap: [-0.0557, 0.3815]
Bootstrap: [-0.0958, 0.2189]
Bootstrap: [-0.4328, -0.0548]
Bootstrap: [-0.1656, 0.2526]
Averages:  [-0.1988, 0.1887]
Bootstrap: [-0.0671, 0.3160]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.2032, 0.2345]
Bootstrap: [-0.3581, 0.1021]
Bootstrap: [-0.2888, 0.1126]
Bootstrap: [-0.2766, 0.1510]
Bootstrap: [-0.1522, 0.2849]
Bootstrap: [-0.2778, 0.0969]
Bootstrap: [-0.2613, 0.1012]
Bootstrap: [-0.2389, 0.1670]
Bootstrap: [-0.2488, 0.1775]
Bootstrap: [-0.2144, 0.1520]
Averages:  [-0.2520, 0.1580]
Bootstrap: [-0.3380, 0.0176]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size            Bytes  Class     Attributes

  lims      2x1                16  double              


Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.2451, 0.1457]
Bootstrap: [-0.4164, -0.0505]
Bootstrap: [-0.2308, 0.1761]
Bootstrap: [-0.1889, 0.2295]
Bootstrap: [-0.0843, 0.3015]
Bootstrap: [-0.2786, 0.1065]
Bootstrap: [-0.3615, 0.0230]
Bootstrap: [-0.2599, 0.1335]
Bootstrap: [-0.1928, 0.1635]
Bootstrap: [-0.3551, 0.0278]
Averages:  [-0.2614, 0.1257]
Bootstrap: [-0.2312, 0.1389]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size             Bytes  Class     Attributes

  x         1x100              800  double              

  Name      Size            Bytes  Class     Attributes

  lims      2x1                16  double              


Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.2415, 0.1068]
Bootstrap: [-0.2158, 0.1637]
Bootstrap: [-0.2096, 0.2338]
Bootstrap: [-0.2334, 0.1907]
Bootstrap: [-0.1804, 0.2165]
Bootstrap: [-0.1338, 0.2937]
Bootstrap: [-0.1751, 0.2474]
Bootstrap: [-0.2109, 0.1449]
Bootstrap: [-0.2676, 0.1405]
Bootstrap: [-0.1987, 0.2160]
Averages:  [-0.2067, 0.1954]
Bootstrap: [-0.2965, 0.0790]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name      Size             Bytes  Class     Attributes

  x         1x100              800  double              

  Name      Size            Bytes  Class     Attributes

  lims      2x1                16  double              


Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
  Name        Size            Bytes  Class     Attributes

  x         100x10             8000  double              

  Name      Size            Bytes  Class     Attributes

  lims      2x10              160  double              


Bootstrap: [-0.2857, 0.1615]
Bootstrap: [-0.0803, 0.2274]
Bootstrap: [-0.2094, 0.1858]
Bootstrap: [-0.4246, -0.0181]
Bootstrap: [-0.2475, 0.1247]
Bootstrap: [-0.1454, 0.3129]
Bootstrap: [-0.2207, 0.1676]
Bootstrap: [-0.1350, 0.2553]
Bootstrap: [-0.2901, 0.1097]
Bootstrap: [-0.2179, 0.1813]
Averages:  [-0.2257, 0.1708]
Bootstrap: [-0.3361, -0.2692]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.2645, -0.1931]
Bootstrap: [-0.2971, -0.2332]
Bootstrap: [-0.2755, -0.1918]
Bootstrap: [-0.1998, -0.1174]
Bootstrap: [-0.3365, -0.2655]
Bootstrap: [-0.0079, 0.0609]
Bootstrap: [-0.3119, -0.2468]
Bootstrap: [-0.1212, -0.0436]
Bootstrap: [-0.0683, -0.0013]
Bootstrap: [-0.2355, -0.1690]
Averages:  [-0.2118, -0.1401]
Bootstrap: [-0.0593, -0.0429]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.0603, -0.0392]
Bootstrap: [-0.0607, -0.0360]
Bootstrap: [-0.0593, -0.0352]
Bootstrap: [-0.1149, -0.0962]
Bootstrap: [-0.0462, -0.0246]
Bootstrap: [-0.0128, 0.0072]
Bootstrap: [-0.0618, -0.0426]
Bootstrap: [-0.0939, -0.0730]
Bootstrap: [-0.0594, -0.0350]
Bootstrap: [-0.0562, -0.0325]
Averages:  [-0.0625, -0.0407]
Bootstrap: [-0.0539, -0.0306]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.0545, -0.0293]
Bootstrap: [0.0073, 0.0243]
Bootstrap: [-0.0744, -0.0534]
Bootstrap: [-0.0644, -0.0442]
Bootstrap: [-0.0520, -0.0311]
Bootstrap: [0.0055, 0.0273]
Bootstrap: [-0.0947, -0.0735]
Bootstrap: [-0.1176, -0.0925]
Bootstrap: [-0.0111, 0.0117]
Bootstrap: [-0.0644, -0.0466]
Averages:  [-0.0520, -0.0307]
Bootstrap: [-0.1146, -0.0889]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.0539, -0.0321]
Bootstrap: [0.0115, 0.0307]
Bootstrap: [-0.0180, 0.0015]
Bootstrap: [-0.0770, -0.0556]
Bootstrap: [-0.0583, -0.0320]
Bootstrap: [-0.0456, -0.0244]
Bootstrap: [-0.0573, -0.0347]
Bootstrap: [-0.0821, -0.0612]
Bootstrap: [-0.0914, -0.0720]
Bootstrap: [-0.0491, -0.0234]
Averages:  [-0.0521, -0.0303]
Bootstrap: [-0.0140, 0.0060]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.0427, -0.0189]
Bootstrap: [-0.0442, -0.0246]
Bootstrap: [-0.1107, -0.0899]
Bootstrap: [-0.1228, -0.1031]
Bootstrap: [-0.0301, -0.0080]
Bootstrap: [-0.0508, -0.0336]
Bootstrap: [-0.0408, -0.0208]
Bootstrap: [-0.0428, -0.0267]
Bootstrap: [-0.0374, -0.0136]
Bootstrap: [-0.0670, -0.0461]
Averages:  [-0.0589, -0.0385]
Bootstrap: [-0.0779, -0.0534]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.1092, -0.0886]
Bootstrap: [-0.0053, 0.0175]
Bootstrap: [-0.0990, -0.0797]
Bootstrap: [-0.0326, -0.0093]
Bootstrap: [-0.0480, -0.0219]
Bootstrap: [-0.0591, -0.0390]
Bootstrap: [-0.0313, -0.0121]
Bootstrap: [-0.0794, -0.0592]
Bootstrap: [-0.0490, -0.0264]
Bootstrap: [-0.0544, -0.0341]
Averages:  [-0.0567, -0.0353]
Bootstrap: [-0.0389, -0.0174]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-0.0438, -0.0215]
Bootstrap: [-0.0595, -0.0391]
Bootstrap: [-0.0628, -0.0437]
Bootstrap: [-0.0216, -0.0052]
Bootstrap: [-0.1305, -0.1088]
Bootstrap: [-0.0882, -0.0663]
Bootstrap: [-0.1331, -0.1122]
Bootstrap: [-0.0137, 0.0035]
Bootstrap: [-0.0716, -0.0495]
Bootstrap: [-0.1134, -0.0959]
Averages:  [-0.0738, -0.0539]
Bootstrap: [-0.0460, -0.0206]
Exact:     [-0.0620, 0.0620]
whos xb
  Name         Size            Bytes  Class     Attributes

  xb        1000x1              8000  double              

p

p =

    2.5000    9.7500

dbquit
bootcl_demo
Bootstrap: [-0.1229, 0.0025]
Exact:     [-0.0620, 0.0620]
Bootstrap: [-0.0391, 0.0801]
Exact:     [-0.0620, 0.0620]
Bootstrap: [-0.0985, 0.0198]
Exact:     [-0.0620, 0.0620]
Bootstrap: [-0.0281, 0.0929]
Exact:     [-0.0620, 0.0620]
Bootstrap: [-0.0988, 0.0334]
Exact:     [-0.0620, 0.0620]
Bootstrap: [-0.0576, 0.0681]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0983, 0.0287]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0854, 0.0391]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0690, 0.0507]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0675, 0.0621]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0597, 0.0653]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0070, 0.1146]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0409, 0.0828]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0707, 0.0529]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.1001, 0.0240]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
Bootstrap: [-0.0852, 0.0357]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]
{Operation terminated by user during <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('bootcl', '/Users/rweigel/git/tflab/stats/bootcl.m', 46)" style="font-weight:bold">bootcl</a> (<a href="matlab: opentoline('/Users/rweigel/git/tflab/stats/bootcl.m',46,0)">line 46</a>)


In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('bootcl_demo', '/Users/rweigel/git/tflab/stats/bootcl_demo.m', 18)" style="font-weight:bold">bootcl_demo</a> (<a href="matlab: opentoline('/Users/rweigel/git/tflab/stats/bootcl_demo.m',18,0)">line 18</a>)
lims = bootcl(x, @mean, nb, p);
} 
help randsample
 <strong>randsample</strong> Random sample, with or without replacement.
    Y = <strong>randsample</strong>(N,K) returns Y as a column vector of K values sampled
    uniformly at random, without replacement, from the integers 1:N.
 
    Y = <strong>randsample</strong>(POPULATION,K) returns K values sampled uniformly at random,
    without replacement, from the values in the vector POPULATION.  Y is a
    vector of the same type as POPULATION.
  
    NOTE:  When POPULATION is a numeric vector containing only non-negative
    integer values, and it might have length 1, use either
 
       Y = DATASAMPLE(POPULATION,K,'Replace',false)
    or
       Y = POPULATION(<strong>randsample</strong>(LENGTH(POPULATION),K))
 
    instead of Y = <strong>randsample</strong>(POPULATION,K).
 
    Y = <strong>randsample</strong>(N,K,REPLACE) or <strong>randsample</strong>(POPULATION,K,REPLACE) returns a
    sample taken with replacement if REPLACE is true, or without replacement
    if REPLACE is false (the default).
 
    Y = <strong>randsample</strong>(N,K,true,W) or <strong>randsample</strong>(POPULATION,K,true,W) returns a
    weighted sample, using positive weights W, taken with replacement.  W is
    often a vector of probabilities. This function does not support weighted
    sampling without replacement.
 
    Y = <strong>randsample</strong>(S,...) uses the random number stream S for random number
    generation.  <strong>randsample</strong> uses the MATLAB default random number stream by
    default.
 
    Examples:
 
    Draw a single value from the integers 1:10.
       n = 10;
       x = randsample(n,1);
 
    Draw a single value from the population 1:n, when n > 1.
       y = randsample(1:n,1);
 
    Generate a random sequence of the characters ACGT, with
    replacement, according to specified probabilities.
       R = randsample('ACGT',48,true,[0.15 0.35 0.35 0.15])
 
    See also <a href="matlab:help rand -displayBanner">rand</a>, <a href="matlab:help randperm -displayBanner">randperm</a>, <a href="matlab:help RandStream -displayBanner">RandStream</a>.

    <a href="matlab:doc randsample">Documentation for randsample</a>
    <a href="matlab:matlab.lang.internal.introspective.overloads.displayOverloads('randsample')">Other uses of randsample</a>

bootcl_demo
Bootstrap: [-0.0476, 0.0781]
Exact:     [-0.0620, 0.0620]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
Bootstrap: [1.0000, 1.0000]
